variant	cindex	fold_cindex_json
SoftWL SoftFilter MIL	0.6132564392315786	[0.5485188968335035, 0.6574642126789366, 0.6219739292364991, 0.6208842897460018, 0.607035175879397]
SoftWL DeepSurv	0.6013716245177883	[0.4770173646578141, 0.7331288343558282, 0.611731843575419, 0.6152398871119473, 0.5768844221105528]
Whole-tissue topology	0.6413123952772474	[0.5515832482124617, 0.7341513292433538, 0.7001862197392924, 0.6444026340545626, 0.6331658291457286]
Tumour-front topology	0.6341876109116421	[0.5816435432230523, 0.7580813347236705, 0.6899441340782123, 0.5590551181102362, 0.6050420168067226]
Equal ensemble	0.6453716313812884	[0.575240128068303, 0.7653806047966631, 0.6983240223463687, 0.6040494938132733, 0.634453781512605]
