cohort	note	n	events	n_low	events_low	n_high	events_high	threshold	threshold_quantile	logrank_z	logrank_p	logrank_label	maxstat_permutation_p	n_permutations	group_beta	group_se	group_hr	group_ci_low	group_ci_high	group_cox_p
TCGA-COAD	5-fold patient-level OOF	439	97	338	57	101	40	0.6649222612381	0.7700000000000005	4.028490289825393	5.613617890766848e-05	Nominal log-rank P	0.000999000999000999	1000	0.8161954635157463	0.20792744479814587	2.261878049416414	1.5047964978931128	3.3998566035971747	8.659080162707179e-05
TCGA-READ	External validation	161	28	75	5	86	23	0.054858587912927276	0.46500000000000025	2.6013734317746513	0.009285132033400001	Nominal log-rank P	0.08091908091908091	1000	1.2127718918960053	0.4947732070599869	3.3627930444488427	1.2750895431404092	8.868692493503003	0.014239376486955937
SR386	External; administrative censoring at 5 years	417	148	223	64	194	84	-0.2782978230908563	0.5350000000000004	3.343765293166958	0.0008264962868487556	Nominal log-rank P	0.013986013986013986	1000	0.5482049272309755	0.16598416387959397	1.730144493421697	1.2496655631381393	2.3953608520670477	0.0009574020123325049
Self-collected CRC	External validation	294	100	138	36	156	64	-0.5276585272608834	0.47000000000000025	2.702704600565235	0.006877784056832692	Nominal log-rank P	0.058941058941058944	1000	0.5563582135967057	0.20849914540444542	1.7443085201496653	1.1591649655405718	2.6248310671189117	0.007621444815110134
