cohort	n	events	hr	ci_low	ci_high	p_value	meta_weight_percent	beta	se	tau2	q	q_df	q_p	i2_percent	method
TCGA-COAD	439	97	2.261878049416414	1.5047964978931128	3.3998566035971747	8.659080162707179e-05	26.735284571431883	NA	NA	NA	NA	NA	NA	NA	NA
TCGA-READ	161	28	3.3627930444488427	1.2750895431404092	8.868692493503003	0.014239376486955937	4.721675068234406	NA	NA	NA	NA	NA	NA	NA	NA
SR386	417	148	1.730144493421697	1.2496655631381393	2.3953608520670477	0.0009574020123325049	41.95417004264803	NA	NA	NA	NA	NA	NA	NA	NA
Self-collected CRC	294	100	1.7443085201496653	1.1591649655405718	2.6248310671189117	0.007621444815110134	26.588870317685682	NA	NA	NA	NA	NA	NA	NA	NA
Random-effects meta	1311	373	1.9220638279963922	1.36513113540433	2.706208409639667	0.008943516684428436	100.0	0.6533995191519398	0.10751132695250598	0.0	2.5094558084858853	3.0	0.47358463056874023	0.0	Paule-Mandel random effects with modified Hartung-Knapp CI
