cohort	note	n	events	n_low	events_low	n_high	events_high	logrank_p	group_hr	group_ci_low	group_ci_high	group_cox_p	continuous_beta	continuous_se	continuous_hr	continuous_ci_low	continuous_ci_high	continuous_p
TCGA-COAD	5-fold patient-level OOF	439	97	210	35	229	62	0.017183002729086683	1.6493759553903453	1.0882888878833359	2.4997416334103417	0.01833273138760572	0.4210588018716648	0.12251635530889982	1.5235738647696733	1.1983273931633722	1.9370977703192092	0.0005887260117242983
TCGA-READ	External validation	161	28	70	5	91	23	0.014391262135194594	3.146805765590943	1.1944830176185735	8.290102396012857	0.020363471721278593	0.5644739135858331	0.32784713203016025	1.7585224045826655	0.9248659552690639	3.3436208023459484	0.08511309423505674
SR386	External; administrative censoring at 5 years	417	148	310	99	107	49	0.003572107064822805	1.655117490370617	1.1751700641805505	2.3310787012268994	0.003928882001247677	0.9213639560077236	0.19381128742532694	2.512715286812143	1.7185722048895165	3.6738276661383145	1.9950694946831247e-06
Self-collected CRC	External validation	294	100	239	77	55	23	0.17123746775068505	1.3831508168273763	0.8677649695790606	2.2046363349032823	0.1726628305747342	0.4011305290948895	0.18798164740236487	1.4935122025734076	1.0332265721242253	2.158847593950078	0.032852495561139006
