cohort	n	events	hr	ci_low	ci_high	p_value	meta_weight_percent	beta	se	tau2	q	q_df	q_p	i2_percent	method
TCGA-COAD	439	97	1.5235738647696733	1.1983273931633722	1.9370977703192092	0.0005887260117242983	38.455011229011205	NA	NA	NA	NA	NA	NA	NA	NA
TCGA-READ	161	28	1.7585224045826655	0.9248659552690639	3.3436208023459484	0.08511309423505674	11.562401646460883	NA	NA	NA	NA	NA	NA	NA	NA
SR386	417	148	2.512715286812143	1.7185722048895165	3.6738276661383145	1.9950694946831247e-06	24.536841374783176	NA	NA	NA	NA	NA	NA	NA	NA
Self-collected CRC	294	100	1.4935122025734076	1.0332265721242253	2.158847593950078	0.032852495561139006	25.445745749744734	NA	NA	NA	NA	NA	NA	NA	NA
Random-effects meta	1311	373	1.742514556721744	1.1756498727302989	2.5827051495660167	0.020599057818647265	100.0	0.5553292175469128	0.12364957706179236	0.024748456615121255	5.349079240595488	3.0	0.147949229250127	43.91558126056058	Paule-Mandel random effects with modified Hartung-Knapp CI
